,City Name,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
452,bilma,NE,18.69,12.92,106.93,10,4,8.61
453,okhotsk,RU,59.38,143.3,59.34,80,75,6.2
454,woodland,US,38.68,-121.77,56.91,82,1,9.17
455,verpelet,HU,47.85,20.23,73.99,46,36,1.01
456,san felipe,VE,10.34,-68.74,83.71,68,2,1.14
457,beian,NO,63.66,9.57,65.61,55,40,3.36
458,labuhan,ID,-6.88,112.21,79.77,80,43,10.0
459,makat,KZ,47.65,53.35,105.1,9,0,8.05
460,pacific grove,US,36.62,-121.92,55.87,87,90,4.7
461,yumen,CN,40.28,97.2,85.28,21,100,11.01
462,santa maria da vitoria,BR,-13.39,-44.19,87.62,34,79,4.18
463,haines junction,CA,60.75,-137.51,46.38,74,100,0.67
464,itumba,TZ,-9.4,33.18,73.98,40,3,9.17
465,puebloviejo,CO,10.99,-74.28,80.08,83,40,3.36
466,lompoc,US,34.64,-120.46,54.1,93,62,3.36
467,karakol,KG,42.49,78.39,63.7,48,86,2.46
468,saldanha,ZA,-33.01,17.94,59.0,54,9,9.17
469,huilong,CN,31.81,121.66,74.59,96,100,5.59
470,gamba,GA,-2.65,10.0,72.03,86,100,8.1
471,port hardy,CA,50.7,-127.42,44.6,100,40,4.7
472,piranhas,BR,-16.43,-51.82,88.09,29,90,5.37
473,snezhnogorsk,RU,69.19,33.25,59.0,62,20,11.18
474,rio grande,BR,-32.03,-52.1,48.2,45,0,9.17
475,phibun mangsahan,TH,15.24,105.23,84.2,94,40,6.55
476,dubna,RU,56.73,37.17,63.57,75,100,16.51
477,bambous virieux,MU,-20.34,57.76,74.16,78,40,6.93
478,beaverlodge,CA,55.22,-119.44,55.4,66,75,10.29
479,gambo,CF,4.65,22.26,77.2,88,43,4.45
480,abeokuta,NG,7.15,3.35,86.0,70,75,8.05
481,broome,US,42.25,-75.83,66.36,82,40,9.17
482,itoman,JP,26.12,127.67,84.15,94,20,9.17
483,punta alta,AR,-38.88,-62.07,41.5,64,4,8.14
484,nago,JP,26.59,127.98,84.13,89,20,6.93
485,turbat,PK,26.0,63.04,91.33,54,32,15.03
486,viedma,AR,-40.81,-63.0,43.11,62,21,8.1
487,izhmorskiy,RU,56.19,86.64,66.18,89,27,6.98
488,tecolutla,MX,20.48,-97.02,78.8,94,20,4.7
489,talara,PE,-4.58,-81.27,64.4,88,18,11.41
490,howard springs,AU,-12.5,131.05,68.67,68,0,3.36
491,pajapita,GT,14.72,-92.03,73.4,100,40,5.82
492,puerto rondon,CO,6.28,-71.1,80.33,81,4,4.12
493,indianola,US,41.36,-93.56,73.85,78,90,10.29
494,nalut,LY,30.33,10.85,98.92,11,0,9.66
495,lulea,SE,65.58,22.15,62.6,67,20,2.24
496,groningen,NL,53.25,6.75,59.36,93,75,3.36
497,maine-soroa,NE,13.21,12.02,95.65,34,100,6.82
498,naze,JP,28.37,129.48,82.4,94,100,9.17
499,manado,ID,1.49,124.85,78.8,83,20,2.24
500,egvekinot,RU,66.32,-179.17,45.12,94,100,1.63
501,troitskoye,RU,52.98,84.68,69.13,87,0,6.6
502,adrar,MR,20.5,-10.07,107.22,13,14,10.83
503,bajina basta,RS,43.97,19.57,64.4,52,40,5.82
504,kloulklubed,PW,7.04,134.26,82.4,74,75,10.29
505,luwuk,ID,-0.95,122.79,76.96,81,34,5.91
506,little current,CA,45.98,-81.92,68.0,72,1,8.05
507,tuatapere,NZ,-46.13,167.68,39.0,83,79,3.0
508,boende,CD,-0.22,20.87,86.67,55,86,3.87
509,mandurah,AU,-32.55,115.7,55.0,77,99,11.05
510,san rafael,AR,-34.62,-68.33,50.61,43,19,5.06
511,carberry,CA,49.87,-99.36,55.4,82,20,10.29
512,alta floresta,BR,-9.88,-56.09,88.81,29,0,5.59
513,chabahar,IR,25.29,60.64,84.96,76,0,12.86
514,namuac,PH,18.61,121.17,79.83,79,28,7.14
515,buenaventura,CO,3.88,-77.03,80.83,83,43,0.85
516,shingu,JP,33.73,135.98,71.85,93,85,6.64
517,iba,PH,15.37,120.03,79.21,80,0,2.53
518,lata,PT,40.16,-8.33,90.14,46,0,11.95
519,boyolangu,ID,-8.12,111.89,75.43,90,50,4.63
520,fairbanks,US,64.84,-147.72,51.42,100,90,3.36
521,izhma,RU,65.01,53.91,52.52,94,100,7.92
522,eureka,US,40.8,-124.16,51.4,81,90,1.77
523,sabha,LY,27.04,14.43,96.98,10,0,10.69
524,ulaanbaatar,MN,47.91,106.88,68.0,68,40,6.71
525,sorel,CA,46.04,-73.11,66.78,63,100,8.01
526,ulaangom,MN,49.98,92.07,61.68,65,91,6.33
527,sungaipenuh,ID,-2.08,101.38,66.33,89,100,4.36
528,mabaruma,GY,8.2,-59.78,85.35,66,39,3.24
529,madimba,TZ,-10.4,40.33,86.0,48,40,11.41
530,schertz,US,29.55,-98.27,77.52,88,90,11.41
531,la rochelle,FR,46.17,-1.15,73.4,60,86,18.34
532,cedral,MX,23.8,-100.73,69.57,40,0,5.75
533,laki,BG,41.85,24.82,80.6,26,54,9.17
534,coahuayana,MX,18.73,-103.68,73.4,78,40,2.93
535,bulawayo,ZW,-20.15,28.58,75.65,14,0,10.54
536,kemijarvi,FI,66.71,27.43,52.29,91,100,6.69
537,longkou,CN,37.65,120.33,74.03,77,0,3.04
538,phitsanulok,TH,16.92,100.5,84.2,83,20,3.36
539,pasighat,IN,28.07,95.33,80.06,84,73,0.83
540,gazli,UZ,40.13,63.45,105.37,9,45,12.41
541,lexington,US,37.99,-84.48,74.53,78,1,3.4
542,tabas,IR,33.6,56.92,107.6,12,32,6.93
543,aden,YE,12.78,45.04,89.47,62,11,9.98
544,shelburne,CA,44.08,-80.2,67.01,77,40,6.93
545,turayf,SA,31.67,38.66,100.4,18,0,11.41
546,zaraysk,RU,54.77,38.88,65.95,96,100,18.07
547,normandin,CA,48.83,-72.53,64.4,72,20,10.29
548,abu samrah,SY,35.3,37.18,98.82,19,2,18.9
549,nelson bay,AU,-32.72,152.15,53.82,87,90,10.29
550,la palma,US,33.85,-118.05,67.95,68,90,3.36
551,ruwi,OM,23.6,58.55,91.4,66,0,9.17
